SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=CC=CC2=C1C(Br)=CC=C2,249.980071996,-8.1153,0.4389,3.8381999999999996,4.2771,0.23380327792195646,0.153038,-0.008411,6.0,-0.061059,-3135.561981529158,1.00031,46.156,-0.06432397,-0.07690532,-0.1160307178,-0.00461353,-0.574243,-0.130125,32.953691121927314,1.5791060497909657
OB(O)C1=CC=NC(=C1)C1=NC=CC=C1,200.07570792799999,-8.7973,0.1317,4.3328,4.4645,0.22398924851607122,0.053712,-0.060044,6.0,-0.056736,-671.464748177676,1.32511,44.739,-0.05984974,-0.08242268,0.0148272791,-0.00031284,-0.616874,-0.128283,22.46054375549937,1.5706315101291515
OB(O)C1=CC(OC2=CC=C(F)C=C2)=CC=C1,232.0707028,-8.4536,0.8457,3.80395,4.64965,0.21506995150172592,0.036294,-0.07187,6.0,-0.073019,-813.859253280341,2.402,50.462,-0.07520123,-0.03716692,-0.110704449,-0.01704382,-0.631008,-0.149259,22.691865386543107,1.5649797852405432
CC1=CC2=C(C=C1)N(C(=O)OC(C)(C)C)C(=C2)B(O)O,275.132888456,-8.4129,0.5136,3.94965,4.46325,0.22405198005937377,0.008109,-0.065983,6.0,-0.026323,-925.09417585724,6.08847,43.819,-0.03752009,0.01105067,-0.2932181298,0.08184477,-0.300338,-3.974899,25.54910172304334,1.5839888310108718
OB(O)C1=CC=C(OCCN2CCCC2)C=C1,235.137973836,-8.0947,1.5516,3.2715499999999995,4.82315,0.2073333817111224,-0.067769,-0.087541,6.0,-0.095014,-773.57538329773,2.38583,64.027,-0.09827874,-0.13225723,-0.2164365966,-0.03713015,-0.664561,-0.185499,22.582922156755732,1.5515685101355554
CC1=CC=C(Br)C=C1B(O)O,213.980071996,-8.8557,0.8335,4.0111,4.844600000000001,0.20641539033150308,-0.00292,-0.039676,6.0,-0.073592,-3021.248385631609,1.67479,48.676,-0.07558676,0.01031242,-0.4304016212,-0.01637722,-0.638626,-0.16211,26.40359255092835,1.5705627998714673
OB(O)C1=CC(CNC2=CC=CC=C2)=CC=C1,227.11175908799999,-7.5786,1.1363,3.2211499999999997,4.35745,0.22949201941502484,-0.051932,-0.068484,6.0,-0.075579,-734.048778112566,2.82379,53.238,-0.07898941,-0.20236344,-0.0986669783,-0.01901924,-0.647397,-0.152377,22.700845371618236,1.5591235391102463
CC1=CC(Br)=CC=C1B(O)O,213.980071996,-9.0092,0.833,4.0881,4.9211,0.2032066001503729,-0.049078,-0.046077,6.0,-0.079808,-3021.248647090008,1.919,52.782,-0.08138776,-0.00661568,-0.3514437812,-0.02192451,-0.648477,-0.172535,26.33627746900861,1.5681225876607976
OB(O)C1=C(C=O)C(Cl)=CC=C1,184.009852132,-9.6885,-0.7838,5.236149999999999,4.45235,0.22460049187507722,-0.056517,-0.000591,6.0,-0.04167,-981.260146785657,3.10299,42.548,-0.04505719,-0.05458431,-0.2362660107,0.01141547,-0.571028,-0.114571,27.063377810944168,1.5989947457216844
CCCCC[C@H]1CC[C@@H](CC1)C1=CC=C(C=C1)B(O)O,274.210410504,-8.9514,1.1663,3.89255,5.05885,0.19767338426717537,0.038874,-0.080551,6.0,-0.083482,-839.61257077408,1.61464,56.919,-0.08612772,-0.11117046,-0.2488729307,-0.0276725,-0.652818,-0.171427,22.553336934609003,1.5620309694456287
COC1=CC(B(O)O)=C(OC)C=C1Br,259.9855513,-8.3225,0.6119,3.8552999999999997,4.4672,0.2238538681948424,-0.061182,-0.051809,6.0,-0.087303,-3211.0027486272,2.15527,65.365,-0.08989445,-0.11753742,-0.3753966426,-0.03027167,-0.56835,-0.189843,24.399176347415434,1.5824365961171856
