SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=C(O)C=CC=C1Cl,172.009852132,-8.6669,0.6607,4.0031,4.6638,0.2144174278485355,-0.11004,-0.072109,6.0,-0.107284,-943.171247228701,0.36774,77.311,-0.11268732,-0.13165959,-0.4934069087,-0.04805519,-0.625146,-0.245747,28.292591581925308,1.5679807144234854
CCCOC1=CC=CC(=C1)B(O)O,180.095774676,-8.5684,1.1044,3.732,4.8364,0.2067653626664461,0.13774,-0.079191,6.0,-0.075163,-601.486737699207,4.82269,45.03,-0.07706408,0.02915852,-0.2232859279,-0.02112801,-0.637807,-0.15957,22.643067173072854,1.5725134610117235
CC(C)OC1=NC=C(C=C1)B(O)O,181.091023644,-8.8883,0.9729,3.9576999999999996,4.930599999999999,0.20281507321624145,0.029226,-0.106787,6.0,-0.102326,-617.545055102144,3.11901,65.274,-0.10689781,0.03951296,-0.6351535182,-0.04488467,-0.665458,-0.234212,22.379793502110644,1.56720481822707
CS(=O)(=O)NCC1=CC=C(C=C1)B(O)O,229.058009264,-9.475,0.7823,4.34635,5.1286499999999995,0.1949830852173574,0.073372,-0.077788,6.0,-0.076939,-1090.966140247448,5.63748,48.002,-0.07913712,0.019186,-0.2377571542,-0.02350664,-0.644949,-0.170147,22.579859216109956,1.5727799081761211
CCC1=CC(C)=CC(CC)=C1B(O)O,192.13216018399999,-8.49,1.973,3.2585,5.2315000000000005,0.19114976584153684,-0.160665,-0.005858,6.0,-0.082749,-604.901032020286,2.39433,52.896,-0.08355318,-0.14040144,-0.127718419,-0.02158802,-0.648315,-0.167547,34.33814029381954,1.571397198167223
COC(=O)C1=CN=CC(=C1)B(O)O,181.054638136,-9.8119,0.1615,4.8252,4.9867,0.20053341889425874,0.049278,-0.080756,6.0,-0.078203,-652.26080881044,1.65858,62.176,-0.08317647,-0.10103849,-0.5895076624,-0.0199329,-0.642879,-0.19383,22.434856821447266,1.567842580054465
COC(=O)C1=CC(=CC(=C1)B(O)O)C(=O)OC,238.064868472,-10.0162,-0.1215,5.068849999999999,4.94735,0.20212841218025812,0.190194,-0.070102,6.0,-0.072348,-864.129348995324,5.48899,49.296,-0.0752479,0.08398612,-0.3386293704,-0.01977595,-0.617199,-0.172364,22.565658309479524,1.5770382402016823
CC(C)(C)OC(=O)NCC1=CC=C(O1)B(O)O,241.112153012,-8.6727,1.2702,3.7012500000000004,4.971450000000001,0.20114855826770858,0.072921,-0.151242,6.0,-0.022735,-846.671108451843,1.73891,31.131,-0.02987508,-0.04134128,-0.0476331449,0.05914711,-0.249474,-0.010495,20.212693382934408,1.5431519905439168
CC(C)(C)OC(=O)N1CCC(CC1)N1C=C(C=N1)B(O)O,295.1703365839999,-8.9821,1.7774,3.6023500000000004,5.3797500000000005,0.18588224359868022,-0.076904,-0.134348,6.0,-0.127831,-998.901616668111,3.5117,73.792,-0.13640466,-0.11540109,-0.3205069035,-0.06038504,-0.669275,-0.265885,20.89050822538788,1.5555577897322044
NC1=CC=C(Cl)C(F)=C1B(O)O,189.016414732,-8.0529,0.7849,3.6339999999999995,4.4189,0.22630066306094276,-0.262377,-0.045656,6.0,-0.112405,-1022.55556074526,3.05796,87.304,-0.11712382,-0.09401225,-0.591343791,-0.04728244,-0.618816,-0.256899,26.923248276399764,1.5669122630530525
